Weight,male,female
31.0,103,154
33.0,44,170
34.0,123,30
35.0,261,44
36.0,79,60
37.0,85,128
39.0,68,6
40.0,110,10
41.0,98,199
42.0,23,151
43.0,76,243
44.0,100,124
45.0,0,0
46.0,2,63
47.0,154,181
48.0,38,219
49.0,122,9
50.0,162,220
51.0,173,107
52.0,237,105
53.0,283,199
54.0,115,13
55.0,27,5
56.0,194,19
57.0,131,256
58.0,174,72
59.0,116,15
60.0,2,1
61.0,100,13
62.0,161,42
63.0,44,149
64.0,143,53
65.0,14,147
66.0,70,266
67.0,134,13
68.0,24,4
69.0,25,1
70.0,81,6
71.0,62,8
72.0,94,5
73.0,187,19
74.0,175,23
75.0,41,197
76.0,182,59
77.0,123,18
78.0,69,9
79.0,128,125
80.0,78,10
81.0,10,147
82.0,66,5
83.0,13,155
84.0,1,58
85.0,50,170
86.0,4,92
87.0,3,0
88.0,26,3
89.0,2,123
90.0,0,18
91.0,22,1
92.0,0,3
93.0,1,40
94.0,170,87
95.0,6,0
96.0,42,1
97.0,61,2
98.0,14,1
99.0,29,5
100.0,56,3
101.0,1,43
102.0,47,1
103.0,3,0
104.0,3,1
105.0,2,0
106.0,0,22
107.0,6,0
108.0,0,12
109.0,14,2
110.0,5,1
111.0,32,3
112.0,6,1
113.0,10,2
114.0,1,4
115.0,5,0
116.0,0,3
117.0,9,0
118.0,5,0
119.0,18,0
120.0,2,0
121.0,26,2
122.0,2,0
123.0,7,1
124.0,12,0
125.0,2,0
126.0,0,2
127.0,3,1
128.0,2,0
130.0,0,7
132.0,2,0
133.0,2,0
134.0,3,3
135.0,1,0
136.0,0,1
137.0,1,0
138.0,3,0
139.0,3,1
140.0,1,0
142.0,0,1
143.0,1,0
144.0,0,2
145.0,1,0
146.0,2,0
148.0,0,3
149.0,1,1
150.0,3,0
152.0,1,0
154.0,2,0
155.0,1,0
157.0,2,0
159.0,1,0
160.0,5,1
163.0,1,0
165.0,1,0
170.0,1,0
,0,1
